,0
1282,8136
1283,17120
1284,9152
1285,16132
1286,14944
1287,11116
1288,7816
1289,9652
1290,16324
1291,16884
1292,29896
1293,7772
1294,7784
1295,15460
1296,16908
1297,18700
1298,9056
1299,16328
1300,16048
1301,27532
1302,11828
1303,16752
1304,18956
1305,7712
1306,13876
1307,7740
1308,27008
1309,7776
1310,9908
1311,6000
1312,17840
1313,14736
1314,38196
1315,16324
1316,14504
1317,14620
1318,12880
1319,17848
1320,9200
1321,23376
1322,12820
1323,15568
1324,3620
1325,12108
1326,19340
1327,17376
1328,13504
1329,18192
1330,7268
1331,20196
1332,19364
1333,12416
1334,20476
1335,8016
1336,16740
1337,7932
1338,13252
1339,3796
1340,13276
1341,27916
1342,17084
1343,13984
1344,9520
1345,9392
1346,8792
1347,17568
1348,7564
1349,27308
1350,7724
1351,13724
1352,16876
1353,13592
1354,16876
1355,24016
1356,28104
1357,18952
1358,3272
1359,5916
1360,7272
1361,9600
1362,10484
1363,17676
1364,7356
1365,19596
1366,10968
1367,11548
1368,8464
1369,8900
1370,8508
1371,17764
1372,17212
1373,25640
1374,4140
1375,33280
1376,8132
1377,5596
1378,10032
1379,38780
1380,8864
1381,25920
1382,12752
1383,13144
1384,17504
1385,17112
1386,29520
1387,14704
1388,16144
1389,28548
1390,18260
1391,21268
1392,15504
1393,26016
1394,15176
1395,12424
1396,14044
1397,9664
1398,8168
1399,36048
1400,11928
1401,6436
1402,14252
1403,10804
1404,8612
1405,12256
1406,36096
1407,6404
1408,6972
1409,18096
1410,24508
1411,7424
1412,22088
1413,29216
1414,31964
1415,9624
1416,9940
1417,7644
1418,4556
1419,33716
1420,12876
1421,8780
1422,15092
1423,8616
1424,29000
1425,15580
1426,17924
1427,11904
1428,4196
1429,1704
1430,5392
1431,3884
1432,15648
1433,26876
1434,15840
1435,8032
1436,23508
1437,51564
1438,31120
1439,8412
1440,3016
1441,3460
1442,3292
1443,5548
1444,16792
1445,8936
1446,22848
1447,9524
1448,8344
1449,8452
1450,3568
1451,9672
1452,9116
1453,11644
1454,6872
1455,26812
1456,19040
1457,26828
1458,5336
1459,25480
1460,7908
1461,20528
1462,14800
1463,13652
1464,5044
1465,34740
