,0
1621,2048
1622,128
1623,512
1624,512
1625,1024
1626,1024
1627,1024
1628,1024
1629,1024
1630,512
1631,1024
1632,512
1633,512
1634,512
1635,1024
1636,512
1637,512
1638,512
1639,2048
1640,512
1641,256
1642,2048
1643,512
1644,512
1645,1024
1646,512
1647,512
1648,1024
1649,512
1650,1024
1651,2048
1652,1024
1653,512
1654,1024
1655,512
1656,1024
1657,1024
1658,512
1659,512
1660,1024
1661,1024
1662,1024
1663,1024
1664,1024
1665,512
1666,512
1667,2048
1668,1024
1669,1024
1670,1024
1671,1024
1672,1024
1673,1024
1674,1024
1675,256
1676,1024
1677,1024
1678,512
1679,2048
1680,1024
1681,1024
1682,1024
1683,512
1684,1024
1685,1024
1686,1024
1687,1024
1688,1024
1689,512
1690,1024
1691,512
1692,256
1693,512
1694,512
1695,1024
1696,512
1697,2048
1698,1024
1699,512
1700,1024
1701,1024
1702,1024
1703,1024
1704,1024
1705,1024
1706,1024
1707,1024
1708,512
1709,1024
1710,1024
1711,1024
1712,1024
1713,1024
1714,2048
1715,2048
1716,2048
1717,1024
1718,1024
1719,2048
1720,512
1721,2048
1722,1024
1723,2048
1724,512
1725,512
1726,1024
1727,512
1728,512
1729,2048
1730,1024
1731,1024
1732,2048
1733,1024
1734,512
1735,2048
1736,1024
1737,2048
1738,1024
1739,1024
1740,1024
1741,1024
1742,1024
1743,256
1744,1024
1745,1024
1746,2048
1747,512
1748,512
1749,512
1750,2048
1751,1024
1752,1024
1753,2048
1754,2048
1755,512
1756,1024
1757,1024
1758,2048
1759,1024
1760,1024
1761,1024
1762,512
1763,1024
1764,1024
1765,1024
1766,1024
1767,1024
1768,512
1769,1024
1770,2048
1771,512
1772,1024
1773,1024
1774,2048
1775,1024
1776,512
1777,1024
1778,512
1779,1024
1780,1024
1781,2048
1782,1024
1783,2048
1784,512
1785,2048
1786,1024
1787,256
1788,1024
1789,512
1790,1024
1791,1024
1792,512
1793,1024
1794,4096
1795,1024
1796,1024
1797,512
1798,1024
1799,1024
1800,1024
1801,2048
1802,1024
1803,1024
1804,1024
1805,1024
1806,1024
1807,1024
1808,2048
1809,1024
1810,1024
1811,1024
1812,1024
1813,256
1814,1024
1815,1024
1816,512
1817,1024
1818,1024
1819,1024
1820,1024
1821,512
1822,512
1823,2048
1824,2048
1825,512
1826,1024
1827,1024
1828,1024
1829,512
1830,512
1831,512
1832,512
1833,512
1834,1024
1835,1024
1836,1024
1837,2048
1838,1024
1839,1024
1840,256
1841,512
1842,2048
1843,512
1844,2048
1845,512
1846,2048
1847,1024
1848,1024
1849,1024
1850,512
1851,512
1852,1024
1853,1024
1854,1024
1855,512
1856,512
1857,2048
1858,1024
1859,2048
1860,1024
1861,1024
1862,256
1863,256
1864,1024
1865,1024
1866,1024
1867,1024
1868,1024
1869,1024
1870,1024
1871,512
1872,1024
1873,1024
1874,1024
1875,256
1876,1024
1877,1024
1878,1024
1879,512
1880,1024
1881,512
1882,512
1883,2048
1884,512
1885,512
1886,512
1887,2048
1888,512
1889,512
1890,1024
1891,512
1892,1024
1893,1024
1894,1024
1895,1024
1896,1024
1897,1024
1898,1024
1899,512
1900,1024
1901,256
1902,1024
1903,512
1904,512
1905,2048
1906,256
1907,512
1908,1024
1909,1024
1910,1024
1911,512
1912,1024
1913,1024
1914,1024
1915,1024
1916,1024
1917,2048
1918,512
1919,512
1920,1024
1921,1024
1922,512
1923,256
1924,512
1925,512
1926,1024
1927,2048
1928,1024
1929,1024
1930,512
1931,512
1932,1024
1933,1024
1934,1024
1935,2048
1936,1024
1937,256
1938,1024
1939,1024
1940,512
1941,1024
1942,256
1943,512
1944,1024
1945,1024
1946,1024
1947,2048
1948,256
1949,512
1950,1024
1951,512
1952,512
1953,1024
1954,2048
1955,512
1956,512
1957,1024
1958,2048
1959,256
1960,1024
1961,512
1962,1024
1963,512
1964,1024
1965,1024
1966,1024
1967,1024
1968,2048
1969,512
1970,1024
1971,512
1972,256
1973,512
1974,512
1975,512
1976,1024
1977,2048
1978,1024
1979,512
1980,1024
1981,512
1982,2048
1983,1024
1984,512
1985,1024
1986,1024
1987,1024
1988,512
1989,1024
1990,1024
1991,1024
1992,2048
1993,512
1994,512
1995,512
1996,1024
1997,512
1998,256
1999,512
2000,512
2001,1024
2002,512
2003,1024
2004,2048
2005,1024
2006,512
2007,2048
2008,2048
2009,512
2010,1024
2011,1024
2012,1024
2013,1024
2014,1024
2015,1024
2016,1024
2017,1024
2018,1024
2019,512
2020,1024
2021,512
2022,2048
2023,1024
2024,512
2025,512
2026,512
2027,1024
2028,2048
2029,1024
2030,1024
2031,1024
2032,1024
2033,1024
2034,1024
2035,512
2036,1024
2037,2048
2038,1024
2039,1024
2040,1024
2041,1024
2042,2048
2043,512
2044,512
2045,2048
2046,256
2047,512
2048,512
2049,512
2050,1024
2051,512
2052,1024
2053,1024
2054,2048
2055,512
2056,512
2057,256
2058,1024
2059,1024
2060,1024
2061,1024
2062,2048
2063,1024
2064,2048
2065,1024
2066,1024
2067,512
2068,1024
2069,1024
2070,1024
2071,1024
2072,1024
2073,2048
2074,512
2075,2048
2076,512
2077,512
2078,2048
2079,1024
2080,1024
2081,1024
2082,1024
2083,1024
2084,1024
2085,2048
2086,2048
2087,512
2088,2048
2089,256
2090,1024
2091,2048
2092,2048
2093,1024
2094,1024
2095,1024
2096,1024
2097,512
2098,256
2099,1024
2100,512
2101,1024
2102,1024
2103,512
2104,1024
2105,512
2106,2048
2107,1024
2108,1024
2109,1024
2110,2048
2111,1024
2112,512
2113,512
2114,1024
2115,512
2116,1024
2117,512
2118,2048
2119,256
2120,512
2121,2048
2122,1024
2123,512
2124,512
2125,512
2126,1024
2127,1024
2128,512
2129,2048
2130,2048
2131,512
2132,1024
2133,512
2134,1024
2135,512
2136,2048
2137,1024
2138,1024
2139,512
2140,512
2141,1024
2142,512
2143,1024
2144,512
2145,1024
2146,256
2147,512
2148,256
2149,1024
2150,512
2151,512
2152,2048
2153,1024
2154,1024
2155,512
2156,1024
2157,1024
2158,1024
2159,512
2160,1024
2161,512
2162,256
2163,256
2164,1024
2165,1024
2166,1024
2167,512
2168,1024
2169,2048
2170,1024
2171,512
2172,1024
2173,1024
2174,512
2175,512
2176,512
2177,512
2178,1024
2179,1024
2180,512
2181,512
2182,1024
2183,512
2184,1024
2185,1024
2186,1024
2187,1024
2188,1024
2189,1024
2190,256
2191,512
2192,1024
2193,1024
2194,1024
2195,1024
2196,512
2197,1024
2198,1024
2199,1024
2200,2048
2201,1024
2202,2048
2203,1024
2204,512
2205,1024
2206,512
2207,1024
2208,1024
2209,512
2210,256
2211,1024
2212,1024
2213,1024
2214,1024
2215,1024
2216,1024
2217,1024
2218,256
2219,2048
2220,1024
2221,1024
2222,1024
2223,512
2224,1024
2225,1024
2226,1024
2227,2048
2228,1024
2229,512
2230,512
2231,1024
2232,2048
2233,1024
2234,512
2235,1024
2236,2048
2237,1024
2238,512
2239,512
2240,1024
2241,1024
2242,1024
2243,2048
2244,1024
2245,2048
2246,1024
2247,2048
2248,512
2249,2048
2250,512
2251,1024
2252,1024
2253,1024
2254,1024
2255,1024
2256,512
2257,512
2258,1024
2259,2048
2260,512
2261,1024
2262,512
2263,512
2264,512
2265,1024
2266,2048
2267,1024
2268,512
2269,512
2270,1024
2271,1024
2272,512
2273,256
2274,1024
2275,2048
2276,512
2277,1024
2278,1024
2279,1024
2280,1024
2281,512
2282,512
2283,1024
2284,1024
2285,256
2286,512
2287,512
2288,1024
2289,256
2290,1024
2291,512
2292,512
2293,256
2294,512
2295,1024
2296,1024
2297,512
2298,1024
2299,1024
2300,1024
2301,512
2302,1024
2303,256
2304,128
2305,1024
2306,256
2307,2048
2308,1024
2309,2048
2310,512
2311,512
2312,512
2313,512
2314,512
2315,512
2316,1024
2317,1024
2318,1024
2319,512
2320,1024
2321,512
2322,512
2323,512
2324,512
2325,1024
2326,128
2327,1024
2328,1024
2329,512
2330,1024
2331,512
2332,1024
2333,512
2334,1024
2335,1024
2336,512
2337,512
2338,512
2339,2048
2340,512
2341,512
2342,1024
2343,1024
2344,1024
2345,512
2346,256
2347,1024
2348,1024
2349,512
2350,1024
2351,512
2352,1024
2353,512
2354,512
2355,1024
2356,512
2357,512
2358,512
2359,512
2360,1024
2361,512
2362,512
2363,2048
2364,1024
2365,1024
2366,1024
2367,1024
2368,2048
2369,1024
2370,1024
2371,512
2372,512
2373,1024
2374,512
2375,1024
2376,1024
2377,1024
2378,512
2379,1024
2380,256
2381,512
2382,1024
2383,1024
2384,512
2385,1024
2386,512
2387,1024
2388,4096
2389,2048
2390,512
2391,2048
2392,2048
2393,2048
2394,1024
2395,512
2396,2048
2397,512
2398,1024
2399,1024
2400,512
2401,1024
2402,1024
2403,1024
2404,512
2405,512
2406,1024
2407,1024
2408,512
2409,1024
2410,1024
2411,512
2412,1024
2413,1024
2414,1024
2415,1024
2416,1024
2417,1024
2418,1024
2419,512
2420,1024
2421,512
2422,1024
2423,512
2424,1024
2425,1024
2426,512
2427,1024
2428,1024
2429,512
2430,2048
2431,512
2432,128
2433,1024
2434,512
2435,256
2436,512
2437,1024
2438,512
2439,512
2440,1024
2441,256
2442,1024
2443,2048
2444,1024
2445,512
2446,1024
2447,1024
2448,1024
2449,256
2450,2048
2451,2048
2452,512
2453,1024
2454,512
2455,512
2456,256
2457,2048
2458,1024
2459,512
2460,1024
2461,2048
2462,1024
2463,1024
2464,1024
2465,1024
2466,1024
2467,1024
